,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Diversity_Index,Students_with_Disabilities,Staff,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,School_Type,income
19650600000000_786,0.22,0,100,0,0,36.86,1938,85139,10,0.46,241,9.05,25.49,34.92,49.39,8.65,1,0,0,Prop. 39 School,medium income
19642500000000_865,0.22,0,79.68,0,20.32,40.78,2005,80273,54,0.46,13,98,154.47,34.92,21.54,29.4,1,0,0,Prop. 39 School,medium income
29103000000000_952,0.22,0,100,0,18.43,38.96,2014,67224,65,0.47,241,33.33,62.2,27.08,43.26,16.75,1,0,0,Prop. 39 School,medium income
30666700000000_1109,0.22,0,100,0,0,38.37,1992,61648,75,0.46,241,8.6,59.26,22.48,55.24,20.8,1,0,0,Prop. 39 School,medium income
16639300000000_1229,0.22,0,100,0,0,40.08,1998,79118,85,0.56,13,18.84,108.13,42.51,51.98,18.9,1,0,0,Prop. 39 School,medium income
16639300000000_1230,0.22,5.6,76.19,0,9.97,40.08,1998,70895,85,0.56,42.5,18.84,108.13,42.51,51.98,18.9,1,0,0,Prop. 39 School,medium income
19643300000000_1421,0.22,0,100,0,0,37.4,2018,85500,26,0.47,1523.5,9.11,35.1,34.92,67.43,15.55,1,0,0,Prop. 39 School,medium income
19643300000000_1422,0.22,0,100,0,0,37.15,1988,71065,26,0.47,13,9.11,35.1,34.92,67.43,15.55,1,0,0,Prop. 39 School,medium income
19643300000000_1425,0.22,0,100,0,0,37.22,1973,71065,26,0.47,278.5,9.11,35.1,34.92,67.43,15.55,1,0,0,Prop. 39 School,medium income
19649100000000_1529,0.22,0,96.48,0,3.52,39.97,1956,66750,95,0.56,336,13.29,56.6,34.92,75.08,35.5,1,0,0,Prop. 39 School,medium income
19649100000000_1530,0.22,0,100,0,0.48,39.72,1956,66750,95,0.56,85.5,13.29,56.6,34.92,75.08,35.5,1,0,0,Prop. 39 School,medium income
19649100000000_1531,0.22,0,99.39,0,0.48,39.72,1956,66750,95,0.56,85.5,13.29,56.6,34.92,75.08,35.5,1,0,0,Prop. 39 School,medium income
33670300000000_1789,0.22,0,77.67,0,22.33,37.59,2009,96111,74,0.57,241,18.16,28.21,31.72,54.75,23.95,1,0,0,Prop. 39 School,medium income
30665000000000_1891,0.22,0,100,0,0,36.61,2003,97500,18,0.47,1894.5,11.04,31.49,22.48,46.08,10.3,1,0,0,Prop. 39 School,medium income
19651400000000_1991,0.22,2.79,95.23,0,1.98,41.05,2007,89444,14,0.47,241,9.05,26.35,34.92,52.67,8.65,1,0,0,Prop. 39 School,medium income
33671600000000_2128,0.22,0,74.26,0,33.93,40.29,2012,76028,80,0.47,13,16.13,51.87,31.72,23.38,40.1,1,0,0,Prop. 39 School,medium income
30666700000000_2177,0.22,0,100,0,0,38.97,2015,73750,75,0.47,241,10.58,25.83,22.48,51.69,24.35,1,0,0,Prop. 39 School,medium income
30736400000000_2344,0.22,0,99.65,0,0.35,39.39,2007,73125,45,0.47,241,20.07,33.67,22.48,45.98,17.15,1,0,0,Prop. 39 School,medium income
30736400000000_2427,0.22,0,93.42,0,6.58,39.42,1968,73125,45,0.47,271.5,15.18,33.67,22.48,45.98,29.4,1,0,0,Prop. 39 School,medium income
36678500000000_2585,0.22,0,46.51,0,53.49,39.7,2010,58910,90,0.57,38.5,18.98,45.07,34.44,62.48,24.75,1,0,0,Prop. 39 School,medium income
19647300000000_2884,0.22,0,99.12,0,0.88,37.72,2011,59080,80,0.47,241,30.45,79.55,34.92,65.15,20.75,1,0,0,Prop. 39 School,medium income
19647300000000_2887,0.22,0,100,0,0,37.72,2011,59063,80,0.47,14.5,30.45,79.55,34.92,65.15,20.75,1,0,0,Prop. 39 School,medium income
30666700000000_2910,0.22,0,100,0,0,38.42,1998,77730,75,0.47,241,3,44.64,22.48,55.73,84.2,1,0,0,Prop. 39 School,medium income
30666700000000_3004,0.22,0,100,0,0,38.42,1998,61648,75,0.46,241,18.02,59.26,22.48,55.24,19.9,1,0,0,Prop. 39 School,medium income
19650600000000_3659,0.22,0,97.5,0,2.5,37.82,1925,73021,10,0.47,199,9.25,21.23,34.92,44.74,8.25,1,0,0,Prop. 39 School,medium income
19650600000000_3660,0.22,0,70.71,2.09,15.38,37.82,1925,73021,10,0.47,241,9.25,21.23,34.92,44.74,8.25,1,0,0,Prop. 39 School,medium income
19650600000000_3661,0.22,0,99.92,0,0,37.82,1925,73021,10,0.46,241,9.25,21.23,34.92,44.74,8.25,1,0,0,Prop. 39 School,medium income
33669800000000_3858,0.22,0.08,97.45,0,2.47,36.98,2002,80962,77,0.47,38.5,20.77,44.2,31.72,51.54,16.9,1,0,0,Prop. 39 School,medium income
19650600000000_795,0.23,0,100,0,0,37.73,1981,83519,10,0.46,13,24.75,55.5,34.92,49.45,8.65,1,0,0,Prop. 39 School,medium income
19645000000000_835,0.23,0.17,98.67,0,1.16,38.64,1965,72292,87,0.56,38.5,19.88,63.91,34.92,60.34,12.5,1,0,0,Prop. 39 School,medium income
36678500000000_879,0.23,0,100,0,0,40.22,1959,63424,90,0.46,16,58.31,77.93,34.44,48.34,46.2,1,0,0,Prop. 39 School,medium income
33670300000000_1113,0.23,0,88.13,0,11.87,37.96,1980,66941,74,0.47,241,21.98,23.39,31.72,45.34,21.4,1,0,0,Prop. 39 School,medium income
33670300000000_1115,0.23,0,53.51,0,0,37.96,2001,66941,74,0.57,13,21.98,23.39,31.72,45.34,21.4,1,0,0,Prop. 39 School,medium income
19650600000000_1320,0.23,0,61.57,0,7.79,37.73,1954,83519,10,0.47,13,17.75,55.5,34.92,49.45,13.15,1,0,0,Prop. 39 School,medium income
19643300000000_1428,0.23,0,100,0,0,37.36,1955,71065,26,0.47,13,9.11,39.16,34.92,53.99,15.55,1,0,0,Prop. 39 School,medium income
19643300000000_1429,0.23,0,100,0,0.69,37.36,1972,71065,26,0.43,241,9.11,39.16,34.92,53.99,15.55,1,0,0,Prop. 39 School,medium income
19650600000000_1481,0.23,0,98.72,0,1.28,37.7,1960,77344,10,0.47,241,10.65,41.85,34.92,51.04,18.95,1,0,0,Prop. 39 School,medium income
36678500000000_1526,0.23,0,99.21,0,0.79,40.17,1962,70694,90,0.47,241,15.35,66.79,34.44,43.11,26.6,1,0,0,Prop. 39 School,medium income
19647300000000_1733,0.23,1.45,98.38,0,0.17,39.28,2007,70895,80,0.47,241,16.62,89.38,34.92,60.3,23.3,1,0,0,Prop. 39 School,medium income
19647300000000_1791,0.23,5.76,92.79,0,1.44,34.52,2015,92656,80,0.47,13,8.21,19.39,34.92,35.42,14.5,1,0,0,Prop. 39 School,medium income
19648200000000_1980,0.23,0,100,0,0,39.3,2002,93750,98,0.58,42,17.55,65.92,34.92,63.54,24.15,1,0,0,Prop. 39 School,medium income
30666700000000_2151,0.23,0,100,0,0,38.17,2015,77426,75,0.47,241,14.38,25.83,22.48,51.69,13.65,1,0,0,Prop. 39 School,medium income
19647100000000_2155,0.23,0,100,0,0,38.29,2006,68611,92,0.47,13,29.88,86.03,34.92,41.93,28.45,1,0,0,Prop. 39 School,medium income
30666700000000_2182,0.23,0,100,0,0.17,38.17,2015,77426,75,0.46,241,73.36,25.83,22.48,51.69,18.35,1,0,0,Prop. 39 School,medium income
30666700000000_2225,0.23,0,100,0,4.72,38.17,2015,73750,75,0.47,241,71.21,25.83,22.48,51.69,26.6,1,0,0,Prop. 39 School,medium income
30666700000000_2240,0.23,0,99.59,0,1.21,38.33,2015,77426,75,0.47,241,71.42,25.83,22.48,51.69,24.15,1,0,0,Prop. 39 School,medium income
30666700000000_2241,0.23,0,100,0,0,38.15,2015,73750,75,0.47,241,9.07,25.83,22.48,51.69,26.25,1,0,0,Prop. 39 School,medium income
30664300000000_2717,0.23,0,100,0,0,37.7,1998,90900,91,0.56,42.5,20.07,33.84,22.48,42.85,1.9,1,0,0,Prop. 39 School,medium income
19642500000000_2863,0.23,0,66.07,0,33.93,40.06,1964,73125,54,0.47,241,97,60.67,34.92,27.56,17.4,1,0,0,Prop. 39 School,medium income
19642500000000_2864,0.23,0,54.55,0,45.45,39.92,1964,88255,54,0.47,23,97,60.67,34.92,27.56,17.4,1,0,0,Prop. 39 School,medium income
33670300000000_2973,0.23,0,100,0,0,38.8,2006,83056,74,0.47,13,19.95,31.81,31.72,39.14,9.95,1,0,0,Prop. 39 School,medium income
19734500000000_3032,0.23,0,100,0,0,40.77,2007,88125,77,0.47,464,8.73,44.95,34.92,53.46,20.35,1,0,0,Prop. 39 School,medium income
19647300000000_3086,0.23,0,100,0,0,41.78,2015,75515,80,0.47,42,25.9,76.96,34.92,56.95,31.65,1,0,0,Prop. 39 School,medium income
30666700000000_3109,0.23,0,100,0,0,37.33,2006,65227,75,0.47,241,33.38,55.36,22.48,52.19,20.95,1,0,0,Prop. 39 School,medium income
30666700000000_3110,0.23,0,99.84,0,1.79,37.33,1961,65227,75,0.47,241,33.38,55.36,22.48,52.19,20.95,1,0,0,Prop. 39 School,medium income
19650500000000_3306,0.23,4.92,73.11,0,21.97,42.15,1965,90000,79,0.56,13,20.39,52.57,34.92,37.11,13,1,0,0,Prop. 39 School,medium income
30665600000000_3688,0.23,0,99.13,0,0.87,39.98,1956,79214,19,0.47,241,12.32,47.28,22.48,53.24,8.6,1,0,0,Prop. 39 School,medium income
30665600000000_3689,0.23,1.71,100,0,3.75,39.98,1965,87000,19,0.47,241,12.32,47.28,22.48,53.24,8.6,1,0,0,Prop. 39 School,medium income
36678500000000_3799,0.23,0.24,93.26,0,6.5,39.46,2004,85795,90,0.47,42,52.88,55.12,34.44,43.09,40.9,1,0,0,Prop. 39 School,medium income
36678500000000_3800,0.23,0,99.74,0,5.5,39.46,2004,85795,90,0.47,32.5,52.88,55.12,34.44,43.09,40.9,1,0,0,Prop. 39 School,medium income
30666000000000_26,0.24,0,97.37,0,2.63,36.47,1980,66641,23,0.47,42.5,21.66,31.85,22.48,40.72,34.4,0,1,0,Control School,medium income
36677100000000_60,0.24,0,97.77,0,2.23,39.34,1976,72277,82,0.63,38.5,25.71,36.42,34.44,39.97,27.6,0,1,0,Control School,medium income
19648700000000_64,0.24,0,100,0,0,38.14,1959,83580,6,0.57,125.5,31.07,53.18,34.92,55.75,18.2,0,1,0,Control School,medium income
19643000000000_210,0.24,0,100,0,0,38.29,1951,70625,90,0.63,28,52.5,61.64,34.92,54.38,13.4,0,1,0,Control School,medium income
19643100000000_227,0.24,0,100,0,0,36.32,1924,80125,18,0.58,1894.5,34.02,33.03,34.92,45.37,6.9,0,1,0,Control School,medium income
36678800000000_233,0.24,0,81.75,0,18.25,40.53,2008,63170,88,0.63,1523.5,16.11,90.04,34.44,42.12,42.25,0,1,0,Control School,medium income
33671200000000_313,0.24,0,96.58,0,3.42,39.73,1980,95000,49,0.63,13,28.83,57.56,31.72,32.23,24.3,0,1,0,Control School,medium income
30666200000000_331,0.24,0,100,0,0,39.52,2001,91263,10,0.57,241,18.34,29.98,22.48,48.43,15,0,1,0,Control School,medium income
19734400000000_397,0.24,0,98.63,0,1.37,39.85,1989,70391,89,0.63,241,44.85,93.76,34.92,63.08,35.35,0,1,0,Control School,medium income
19734400000000_399,0.24,0,92.85,0,23.12,39.85,1954,70391,89,0.63,199,44.85,93.76,34.92,63.08,35.35,0,1,0,Control School,medium income
19642900000000_443,0.24,0,100,0,0,39.95,1952,65313,89,0.63,241,13.5,66.86,34.92,48.09,30.05,0,1,0,Control School,medium income
19642900000000_444,0.24,0,100,0,6.92,39.95,1952,65313,89,0.63,55,13.5,66.86,34.92,48.09,30.05,0,1,0,Control School,medium income
19642900000000_445,0.24,0,100,0,1.04,39.95,1952,65313,89,0.63,53.5,13.5,66.86,34.92,48.09,30.05,0,1,0,Control School,medium income
19642900000000_447,0.24,0,100,0,0,39.89,1954,62083,89,0.63,42,17.44,66.86,34.92,64.6,22.3,0,1,0,Control School,medium income
19642900000000_448,0.24,0,100,0,0,39.89,1971,62083,89,0.61,241,17.44,66.86,34.92,64.6,22.3,0,1,0,Control School,medium income
19643800000000_459,0.24,0,98.25,0,1.75,38.78,1959,71000,65,0.63,241,40.79,53.81,34.92,52.41,10.35,0,1,0,Control School,medium income
30665200000000_489,0.24,0,100,0,0,37.11,2016,80571,66,0.61,53.5,14.09,33.32,22.48,51.33,21.15,0,1,0,Control School,medium income
36677100000000_611,0.24,0,97.61,0,2.39,39.51,1970,82083,82,0.63,241,17.87,61.48,34.44,58,29.05,0,1,0,Control School,medium income
30739240000000_677,0.24,0,99.47,0,0.53,37.7,1951,74716,0,0.47,241,84.5,34.38,22.48,42.83,7.65,0,1,0,Control School,medium income
19642120000000_682,0.24,0,100,0,0,37.61,1959,79375,40,0.63,14.5,28.3,30.05,34.92,39.44,13.8,0,1,0,Control School,medium income
15634040000000_684,0.24,0,100,0,0,40.14,1896,100450,0,0.57,145,2.75,49.02,27.08,43.7,18.15,0,1,0,Control School,medium income
30736430000000_699,0.24,0,99.82,0,0.18,38.6,1956,72917,16,0.56,653.5,25.9,38.35,22.48,50.72,10.8,0,1,0,Control School,medium income
33669930000000_703,0.24,0,98.57,0,1.43,38.47,2003,72083,0,0.56,615,12.82,60.02,31.72,51.47,20,0,1,0,Control School,medium income
33669930000000_704,0.24,0,100,0,1.89,38.47,2003,72083,0,0.56,615,25.12,60.02,31.72,51.47,20,0,1,0,Control School,medium income
30736430000000_779,0.24,0,100,0,0,38.6,1970,72917,16,0.56,38.5,25.2,38.35,22.48,50.72,10.8,0,1,0,Control School,medium income
36677100000000_804,0.24,0,99.52,0,0.48,39.86,2016,62120,82,0.63,1523.5,12.18,50.52,34.44,41.01,13.3,0,1,0,Control School,medium income
33751800000000_807,0.24,0,50.44,0,49.56,39.2,1993,61726,64,0.63,32.5,25.58,46.72,31.72,34.3,28.2,0,1,0,Control School,medium income
33751800000000_808,0.24,0,14.73,0,85.27,39.14,1993,61726,64,0.63,241,25.58,46.72,31.72,35.84,28.2,0,1,0,Control School,medium income
42767900000000_814,0.24,0,91.62,0,8.38,35.3,1967,94171,62,0.63,241,48.19,30.54,24.3,28.7,11.9,0,1,0,Control School,medium income
30665200000000_852,0.24,0,99.76,0,0.24,38.05,1936,84861,66,0.63,42,14.86,38.72,22.48,53.68,18.2,0,1,0,Control School,medium income
30666200000000_889,0.24,0,99.28,0,0.72,39.8,1966,74205,10,0.47,504.5,78.42,29.7,22.48,46.19,16.55,0,1,0,Control School,medium income
19650000000000_927,0.24,3.67,85.18,0,11.16,42.22,1968,96215,22,0.63,241,34.63,20.63,34.92,41.18,7.2,0,1,0,Control School,medium income
19650000000000_928,0.24,0,100,0,18.34,42.22,1968,96215,22,0.63,28,34.63,20.63,34.92,41.18,7.2,0,1,0,Control School,medium income
36677100000000_953,0.24,0,96.03,0,3.97,40.33,1994,60541,82,0.63,13,12.77,25.14,34.44,43.09,46.85,0,1,0,Control School,medium income
30666000000000_972,0.24,0,100,0,0,34.95,1997,83438,23,0.57,53.5,17.86,31.21,22.48,40.98,30.25,0,1,0,Control School,medium income
56724600000000_1057,0.24,0,99.14,0,0.86,35.01,2003,94002,88,0.63,13,19.76,47.15,26.69,40.53,21.65,0,1,0,Control School,medium income
19651300000000_1067,0.24,0,98.46,0,1.54,38.78,1938,87750,75,0.63,15,29.14,57.77,34.92,58.62,55.85,0,1,0,Control School,medium income
19752900000000_1073,0.24,0,100,0,0,39.65,1994,70179,44,0.63,241,35.66,37.59,34.92,60.91,12.25,0,1,0,Control School,medium income
19752900000000_1074,0.24,0,100,0,0,39.66,1994,70179,44,0.63,241,35.66,37.59,34.92,60.91,12.25,0,1,0,Control School,medium income
19752900000000_1075,0.24,0,100,0,0,39.66,1994,70179,44,0.63,241,35.66,37.59,34.92,60.91,12.25,0,1,0,Control School,medium income
19752900000000_1076,0.24,0,100,0.76,0,39.66,1994,70179,44,0.61,164,35.66,37.59,34.92,60.91,12.25,0,1,0,Control School,medium income
19752900000000_1077,0.24,0,83.53,0,1.39,39.66,1994,70179,44,0.61,23,35.66,37.59,34.92,60.91,12.25,0,1,0,Control School,medium income
30665200000000_1090,0.24,0,100,0,0,36.67,1970,58802,66,0.63,241,40.68,47.17,22.48,51.08,8.35,0,1,0,Control School,medium income
19642800000000_1124,0.24,0,100,0,0,38.98,1951,95298,75,0.63,241,32.58,46.29,34.92,49.6,17.15,0,1,0,Control School,medium income
19642800000000_1125,0.24,0,76.4,0,0,38.98,2001,95298,75,0.63,1523.5,32.58,46.29,34.92,49.6,17.15,0,1,0,Control School,medium income
33670900000000_1126,0.24,0,85.41,0,14.59,38.77,1950,89485,48,0.63,23,13.51,57.33,31.72,54.83,29.7,0,1,0,Control School,medium income
54722600000000_1160,0.24,0,93.06,0,6.94,39.91,2013,68980,71,0.63,164,13.75,46.02,28.45,61.75,37.7,0,1,0,Control School,medium income
33670900000000_1357,0.24,0,88.43,0,11.57,38.28,1956,60469,48,0.63,38.5,16.7,57.33,31.72,60.28,33.35,0,1,0,Control School,medium income
33670900000000_1362,0.24,0.4,84.26,0,15.34,38.85,2017,68702,48,0.63,464,10.76,57.33,31.72,50.48,19.5,0,1,0,Control School,medium income
33670900000000_1363,0.24,0,94.78,0,0,38.85,1992,68702,48,0.63,464,10.76,57.33,31.72,50.48,19.5,0,1,0,Control School,medium income
19102000000000_1378,0.24,0,96.55,0,3.45,38.78,1993,66750,100,0.63,1894.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1379,0.24,0,80.95,0,19.05,38.78,1993,66750,100,0.63,1523.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1380,0.24,0,100,0,0,38.78,1993,66750,100,0.63,241,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1381,0.24,0,100,0,0,38.84,1993,66750,100,0.63,1894.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1382,0.24,0,100,0,0,38.84,1993,66750,100,0.63,241,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1383,0.24,0,100,0,0.17,38.84,1993,66750,100,0.63,241,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1384,0.24,0,98.53,0,0,38.84,1993,66750,100,0.63,27.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1385,0.24,0,100,0,0,38.84,1993,66750,100,0.61,16,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1386,0.24,0,100,0,0,38.84,1993,66750,100,0.61,653.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19102000000000_1387,0.24,0,100,0,0,38.84,1993,66750,100,0.63,1894.5,5.5,56.6,34.92,75.08,8.6,0,1,0,Control School,medium income
19647700000000_1450,0.24,0,100,0,0,39.08,1912,88125,39,0.63,145,15.51,55.77,34.92,64.65,26.3,0,1,0,Control School,medium income
19651000000000_1478,0.24,0,86.3,0,13.7,39.53,2003,70890,60,0.63,13,24.61,60.67,34.92,27.56,20.35,0,1,0,Control School,medium income
19768700000000_1509,0.24,0,100,0,0,36.39,1959,77679,35,0.63,653.5,15.05,56.41,34.92,62.83,4.6,0,1,0,Control School,medium income
56724600000000_1518,0.24,0,100,0,0,34.92,2005,65881,88,0.63,42.5,20.9,47.15,26.69,30.31,24.25,0,1,0,Control School,medium income
30665200000000_1599,0.24,0,99.68,0,0.32,37.2,1994,90862,66,0.61,241,40.44,35.96,22.48,35.93,6.95,0,1,0,Control School,medium income
30665200000000_1600,0.24,0,97.52,0,1.6,37.2,1979,90862,66,0.61,241,40.44,35.96,22.48,35.93,6.95,0,1,0,Control School,medium income
19647200000000_1641,0.24,0,98.4,0,0,38.86,1952,59527,71,0.63,1894.5,6.71,49.03,34.92,66.58,20.75,0,1,0,Control School,medium income
36677100000000_1744,0.24,0,99.3,0,0.7,39.66,1969,72361,82,0.63,241,13.47,37.88,34.44,34.97,33.1,0,1,0,Control School,medium income
30665200000000_1787,0.24,0,98.33,0,1.67,37.71,2006,80769,66,0.63,220,9.4,37.07,22.48,35.75,15.65,0,1,0,Control School,medium income
36678400000000_1795,0.24,0,100,0,0,39.84,1957,101056,67,0.61,13,14.6,56.11,34.44,60.75,31.05,0,1,0,Control School,medium income
36678400000000_1796,0.24,0,100,0,0,39.91,2006,65607,67,0.63,241,14.6,56.11,34.44,60.75,31.05,0,1,0,Control School,medium income
33751800000000_1807,0.24,0,94.75,0,5.25,41.22,2000,66503,64,0.58,148.5,27.85,57.91,31.72,31.74,39.5,0,1,0,Control School,medium income
33751800000000_1808,0.24,0,84.54,0,81.67,41.22,1997,66503,64,0.47,142.5,27.85,57.91,31.72,31.74,39.5,0,1,0,Control School,medium income
33751800000000_1809,0.24,0,17.1,0,88.63,41.22,1960,66503,64,0.63,241,27.85,57.91,31.72,31.74,39.5,0,1,0,Control School,medium income
33751800000000_1810,0.24,0,91.67,0,8.33,41.1,1969,66503,64,0.63,42,27.85,57.91,31.72,31.74,39.5,0,1,0,Control School,medium income
33751800000000_1811,0.24,0,79.72,0,20.49,41.22,2003,66503,64,0.63,13,27.85,57.91,31.72,31.74,39.5,0,1,0,Control School,medium income
33670900000000_1987,0.24,0,93.93,0,6.07,40.33,1958,64602,48,0.63,278.5,11.86,38.86,31.72,63.21,28.7,0,1,0,Control School,medium income
56724500000000_2082,0.24,12.82,72.69,0,14.5,39.86,2006,75707,60,0.58,164,18.47,41.52,26.69,39.8,26.65,0,1,0,Control School,medium income
15638300000000_2138,0.24,0,71.07,0,28.93,39.66,1993,99357,29,0.63,98.5,12.37,62.2,27.08,43.26,4.9,0,1,0,Control School,medium income
30666000000000_2234,0.24,0,100,0,0,38.09,1998,99190,23,0.63,336,14.29,32.3,22.48,48.25,19.5,0,1,0,Control School,medium income
30664700000000_2292,0.24,0,100,0,0,37.4,2000,74750,54,0.63,38.5,47.82,50.98,22.48,43.48,23.3,0,1,0,Control School,medium income
19102000000000_2303,0.24,0,97.78,0,2.22,39.6,1999,79009,100,0.63,241,12.81,31.7,34.92,57.86,24.45,0,1,0,Control School,medium income
33103300000000_2305,0.24,0,100,0,0.11,38.28,1994,60469,65,0.63,1894.5,9.11,57.33,31.72,60.28,22.25,0,1,0,Control School,medium income
36679000000000_2418,0.24,0,100,0,0,37.26,1965,81016,0,0.47,336,13.64,52.43,34.44,54.21,35.35,0,1,0,Control School,medium income
33670800000000_2463,0.24,0,96.51,0,3.49,42.01,2015,69000,92,0.63,42.5,34.87,69.67,31.72,28.2,8.45,0,1,0,Control School,medium income
33103300000000_2500,0.24,0,100,0,0,38.77,1985,89485,65,0.63,1894.5,11.66,57.33,31.72,54.83,26.2,0,1,0,Control School,medium income
19734400000000_2520,0.24,0,100,0,0,40.97,2015,68219,89,0.63,221,13,96.18,34.92,72.95,18.9,0,1,0,Control School,medium income
36677100000000_2565,0.24,0,97.83,0,2.17,39.59,1959,81875,82,0.61,241,16.11,48.82,34.44,47.97,80.1,0,1,0,Control School,medium income
19648400000000_2588,0.24,0,100,0,0,38.52,1965,94516,81,0.63,129,14.78,56.71,34.92,52.44,18.15,0,1,0,Control School,medium income
36677100000000_2636,0.24,3.08,75.07,0,21.85,39.1,2010,88869,82,0.61,1523.5,10.91,47.11,34.44,45.97,20.05,0,1,0,Control School,medium income
30665200000000_2726,0.24,0,100,0,0,37.85,2008,83750,66,0.63,27.5,40.17,24.75,22.48,52.02,10.4,0,1,0,Control School,medium income
19647200000000_2728,0.24,0,100,0,0,39.14,1909,91905,71,0.63,38.5,9.33,49.03,34.92,66.58,27.55,0,1,0,Control School,medium income
19642100000000_2742,0.24,0,100,0,0,38.24,1999,87117,71,0.63,220,12.15,48.36,34.92,43.62,20.9,0,1,0,Control School,medium income
33670900000000_2780,0.24,0,95.63,0,4.37,38.82,2007,89485,48,0.63,241,54.32,57.33,31.72,54.83,21.6,0,1,0,Control School,medium income
36677100000000_2903,0.24,0,100,0,0,39.77,1962,80500,82,0.63,129,12.79,62.8,34.44,50.37,39.7,0,1,0,Control School,medium income
56725600000000_2961,0.24,0,100,0,0,36.23,2005,105962,58,0.63,241,17.83,45.35,26.69,51.9,26.85,0,1,0,Control School,medium income
19734400000000_2995,0.24,0,100,0,0,39.97,1930,68281,89,0.63,161,10.07,114.33,34.92,73.27,15.85,0,1,0,Control School,medium income
19752900000000_3029,0.24,0,100,0,1.55,40.04,1948,67806,44,0.61,38.5,23.42,40.13,34.92,65.35,23.9,0,1,0,Control School,medium income
30664700000000_3101,0.24,0,100,0,0,37.66,1960,78365,54,0.63,55,10.73,40.37,22.48,46.24,21.6,0,1,0,Control School,medium income
30664700000000_3102,0.24,0,100,0,0,38.03,2003,78365,54,0.63,264,10.73,39.12,22.48,42.04,21.6,0,1,0,Control School,medium income
30665200000000_3292,0.24,0,99.1,0,0.9,36.67,1990,63533,66,0.63,241,17.88,34,22.48,36.28,16.75,0,1,0,Control School,medium income
54718400000000_3310,0.24,0.43,95.88,0,3.68,41.16,2005,65600,80,0.63,13,40.34,61.64,28.45,33.84,43.75,0,1,0,Control School,medium income
36677100000000_3391,0.24,0,100,0,0,40.58,2002,75820,82,0.63,1523.5,17.07,50.52,34.44,41.01,36.15,0,1,0,Control School,medium income
33751800000000_3429,0.24,0,94.37,0,5.63,39.92,2014,87117,64,0.63,13,34.87,57.83,31.72,23.83,22.4,0,1,0,Control School,medium income
30664600000000_3447,0.24,0,82.75,0,17.25,37.66,2000,90183,58,0.63,32.5,7.54,17.93,22.48,30.43,13.05,0,1,0,Control School,medium income
19642800000000_3581,0.24,0,100,0,0,39.05,1959,79524,75,0.61,241,19.57,71.92,34.92,47.51,30.9,0,1,0,Control School,medium income
36677100000000_3610,0.24,0,98.66,0,1.34,40.05,2001,66597,82,0.63,241,17.71,25.14,34.44,43.09,41.8,0,1,0,Control School,medium income
19734400000000_3678,0.24,0,98.04,0,1.96,39.86,2008,96053,89,0.63,23,14.5,115.45,34.92,51.26,18.85,0,1,0,Control School,medium income
36677000000000_3708,0.24,0,97.85,0,2.15,37.24,2019,77750,38,0.63,42.5,19.66,35.03,34.44,40.44,15,0,1,0,Control School,medium income
30666200000000_3711,0.24,0,100,0,0,39.33,2005,75469,10,0.57,16,18.26,36.65,22.48,61.45,21.95,0,1,0,Control School,medium income
36677100000000_3718,0.24,0,100,0,0,40.08,2004,67266,82,0.63,42.5,13.62,62.8,34.44,41.67,27.4,0,1,0,Control School,medium income
30666100000000_3724,0.24,0,99.23,0,0.77,36.05,1992,79159,35,0.58,164,20.14,28.23,22.48,51.36,27.45,0,1,0,Control School,medium income
19647200000000_3780,0.24,0,99.65,0,0.35,39.27,2017,80750,71,0.61,241,15.64,57.55,34.92,56.98,26.25,0,1,0,Control School,medium income
19647200000000_3781,0.24,0,91,0,0,39.27,2006,80750,71,0.61,241,15.64,57.55,34.92,56.98,26.25,0,1,0,Control School,medium income
19642800000000_51,0.25,0,94.75,0,5.25,39.07,1954,88164,75,0.63,125.5,10.74,46.29,34.92,49.6,14.6,0,1,0,Control School,medium income
36678200000000_124,0.25,0,93.72,0,6.28,38.91,1965,89943,71,0.63,241,12.96,55.97,34.44,45.72,16.85,0,1,0,Control School,medium income
36678200000000_127,0.25,0,97.36,0,2.79,38.91,1965,89943,71,0.63,241,12.96,55.97,34.44,45.72,16.85,0,1,0,Control School,medium income
33752400000000_153,0.25,0,81.72,0,18.28,39.97,1924,101056,80,0.63,241,13.39,57.29,31.72,23.16,23.75,0,1,0,Control School,medium income
